Species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Accipiter_albogularis,NA,NA,NA,251.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352.5,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_badius,363.468,3.25,1,140,NA,NA,NA,NA,NA,21,30,32,NA,NA,NA,168.5,125,123,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
Accipiter_bicolor,NA,2.7,NA,345,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,390,212,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_brachyurus,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_brevipes,363.468,4,1,203.5,NA,NA,NA,NA,NA,21.85,32.5,42.5,NA,NA,NA,230.5,170,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_castanilius,NA,NA,NA,159.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,142.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_chilensis,NA,2.7,NA,345,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,377,212,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_chionogaster,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Accipiter_cirrocephalus,NA,3.25,NA,180,NA,NA,NA,NA,NA,20.75,NA,NA,NA,NA,NA,231,127.25,NA,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_cooperii,730,4.35,1,452,20.33333333,NA,NA,28,NA,40,29.75,32,12,730,NA,529,338.5,452,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
Accipiter_erythrauchen,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_erythronemius,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Accipiter_erythropus,NA,2,NA,107,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,146,84.7,NA,NA,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_fasciatus,NA,3,NA,453.5,NA,NA,NA,NA,NA,31,30,30,NA,NA,NA,499.375,303.25,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
Accipiter_francesiae,NA,3,NA,135.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.25,119.5,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
